"pair","dataset","dataset_label","chemical","year","gender","age_group","n","geo_mean","median","p25","p75"
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2013,"Female","<18",39,0.110439279366439,0.07,0.07,0.1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2013,"Male","18–44",103,0.107423475071563,0.07,0.07,0.15
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2013,"Male","45–64",86,0.136253125505325,0.07,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2013,"Male","65+",37,0.147316892200504,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2013,"Male","<18",33,0.137648522723896,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2015,"Female","18–44",91,0.0912958978887908,0.07,0.07,0.1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2015,"Female","45–64",81,0.111598488282871,0.07,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2015,"Female","65+",50,0.129695112731363,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2015,"Female","<18",30,0.162314086201126,0.15,0.07,0.3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2015,"Male","18–44",100,0.103566498803016,0.07,0.07,0.1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2015,"Male","45–64",59,0.133708868629298,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2015,"Male","65+",45,0.145505230262068,0.07,0.07,0.3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2015,"Male","<18",38,0.118776166866235,0.085,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2017,"Female","18–44",363,0.104154189625167,0.07,0.07,0.1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2017,"Female","45–64",297,0.115952252852586,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2017,"Female","65+",203,0.170438162375757,0.2,0.1,0.3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2017,"Female","<18",114,0.112764993132121,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2017,"Male","18–44",334,0.114655040803092,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2017,"Male","45–64",296,0.132661328215667,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2017,"Male","65+",207,0.184875233645513,0.2,0.1,0.3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2017,"Male","<18",115,0.127823088705165,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2015,"Female","18–44",91,0.834802329262858,0.8,0.6,1.3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2015,"Female","45–64",81,1.56680378717628,1.6,0.9,2.6
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2015,"Female","65+",50,1.97865383370297,2.1,1.3,3.175
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2015,"Female","<18",30,1.112419231551,1.15,0.7,1.475
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2015,"Male","18–44",100,1.662605994624,1.65,1.075,2.5
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2015,"Male","45–64",59,1.96244624182638,2,1.4,2.65
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2015,"Male","65+",45,1.75976777670964,1.8,1.3,2.8
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2015,"Male","<18",38,1.39772152783352,1.3,1.025,1.7
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2017,"Female","18–44",363,0.81481115378481,0.8,0.5,1.3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2017,"Female","45–64",297,1.31707547848089,1.3,0.8,2.1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2017,"Female","65+",203,1.52444704103505,1.7,1,2.4
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2017,"Female","<18",114,0.875475459619347,0.8,0.6,1.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2017,"Male","18–44",334,1.35660075975772,1.3,1,1.9
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2017,"Male","45–64",296,1.51805905391098,1.6,1.1,2.3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2017,"Male","65+",207,1.75047117948817,1.9,1.2,2.8
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOA",2017,"Male","<18",115,1.09407415499399,1,0.8,1.4
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2015,"Female","18–44",91,2.04594196873173,1.9,1.2,2.85
