"dataset","year","chemical","n_total","n_below_lod","pct_below","dataset_label","lod_flag"
"PFC",2007,"LBXPFUA",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFUA",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFUA",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PHTHTE",2005,"URXCNP",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXCNP",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXCNP",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXCNP",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXCNP",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXCNP",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXCNP",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXCOP",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXCOP",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXCOP",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXCOP",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXCOP",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXCOP",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXCOP",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXECP",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXECP",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXECP",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXECP",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXECP",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXECP",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXECP",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXECP",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXECPT",2762,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXHIBP",2975,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXHIBP",2762,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMBP",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMBP",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMBP",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMBP",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXMBP",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXMBP",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMBP",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMBP",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMC1",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMC1",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMC1",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMC1",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXMC1",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXMC1",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMC1",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMC1",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMCOH",2975,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMCOH",2762,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMCP",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMCP",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMCP",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMCP",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMEP",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMEP",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMEP",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMEP",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXMEP",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXMEP",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMEP",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMEP",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMHBP",2975,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMHBP",2762,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMHH",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMHH",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMHH",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMHH",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXMHH",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXMHH",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMHH",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMHH",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMHHT",2762,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXMHNC",2489,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXMHNC",2685,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMHNC",2975,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMHNC",2762,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMHP",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMHP",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMHP",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMHP",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXMHP",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXMHP",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMHP",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMHP",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMIB",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMIB",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMIB",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMIB",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXMIB",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXMIB",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMIB",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMIB",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMNM",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMNM",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMNM",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMNM",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXMNM",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMNP",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMNP",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMNP",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMNP",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXMNP",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXMNP",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMNP",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMNP",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMOH",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMOH",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMOH",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMOH",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2011,"URXMOH",2489,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2013,"URXMOH",2685,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2015,"URXMOH",2975,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMOH",2762,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2017,"URXMONP",2762,NA,NA,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2003,"URXMOP",2605,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2005,"URXMOP",2548,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2007,"URXMOP",2604,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
"PHTHTE",2009,"URXMOP",2749,0,0,"Phthalates & Plasticizers (Urine)","Mostly detected (reliable)"
